Fold,Text,Actual Label,Predicted Label
1,ukur foto biar susah,-1,-1
1,mantap,1,1
1,djmt daftar salah habis anggar,-1,-1
1,puas bantu ekonomi,1,1
1,mantap,1,1
1,daftar subsidi sulit akses mohon baik,1,1
1,aplikasi sulit,-1,-1
1,pertamina kirim kode otp registrasi whatsapp pesan coba ulang handphone android pakai wifi,0,0
1,mantap,1,1
1,mantap,1,1
1,moga pom pakai mypertamina,0,1
1,hasil update foto pilih pakai kamera default hasil tangkap foto serasa lambat lot turun kualitas aplikasi sulit daftar pakai handphone ram pakai handphone ram unggah foto stnk gagal pakai wifi data gambar mb gambar rasa beda susah unggah foto,-1,-1
1,mohon buat barcode subsidi unggah foto stnk baik foto kamera buruk foto tempat cahaya terang,1,-1
1,tolong sistem baik ambil foto buruk hasil foto buram sulit bikin darah balik ambil foto galeri,-1,-1
1,bantu aktivitas hari,0,1
1,aplikasi bodoh fungsi rakyat susah pasang aplikasi bodoh,-1,-1
1,update bagus nge error ayo guna turun bintang biar baik aplikasi,1,1
1,oke,1,1
1,alhamdulillah bantu,0,0
1,foto stnk kamera aplikasi susah foto buram tolak daftar subsidi sengaja sulit rakyat subsidi fitur foto ambil galeri foto stnk pakai kamera aplikasi buruk,-1,-1
1,turbo mantap,1,1
1,aplikasi buruk gratis aplikasi aplikasi saking susah bikin qr kode manfaat bikin qr kode bukti aplikasi susah aplikasi bikin qr kode coba bikin aplikasi rakyat mudah bro,-1,-1
1,sistem buruk,-1,-1
1,aplikasi buruk daftar suruh foto ktp tunggu verifikasi data selesai jam sulit aplikasi sampah,-1,-1
1,update buruk lot lambat gampang mypertamina lot enak fitur,1,1
1,pilih foto bagi subsidi pasu foto ktp stnk mobil foto handphone,0,-1
1,keluh jawab template hai mohon maaf tidak nyaman alami admin butuh data dukung admin solusi kendala sila sobat salah kanal interaksi pertamina call center instagram bantu kece bantu,-1,-1
1,oke,1,1
1,bagus,1,1
1,bagus,1,1
1,nomor good,1,1
1,capai unduh aplikasi isi dana ovo spbu jalur my pertamina tutup alas ganggu jaring parah area sulawesi utara,-1,-1
1,dukung handphone foto loading handphone dukung ambil galeri sayang foto stnk pilih galeri bantu daftar,0,-1
1,good,1,1
1,daftar guna lpg kg aplikasi lari website guna aplikasi dar informasi aplikasi guna lari website digital digital haha heran plat merah,1,0
1,innova pertalite,0,1
1,alamat gagal ulang beli gas bingung,-1,-1
1,bantu,0,0
1,kembang tolong baik error maps recall jhonson base camp hero mentang isi pertalite hero recall langsung room,-1,1
1,voucher sampah beli pilih bayar voucher,0,0
1,aplikasi fitur buruk lepas koneksi bayar gopay bilang tingkat sistem email customer service balas,-1,-1
1,aplikasi mypertamina cek pom dekat isi bahan bakar minyak subsidi rubah daftar mobil diesel bensintrim,0,0
1,ulang,0,-1
1,lambat error buffering masalah,-1,-1
1,parah aplikasi pakai spbu pertamina,-1,-1
1,susah masuk data kendara subsidi tolak,-1,-1
1,bagus,1,1
1,oke,1,1
1,good,1,1
1,terima kasih ban uan,0,1
1,oke,1,1
1,mantap,1,1
1,good,1,1
1,spbu kode qr menu unduh kode qr sulit akses pakai sandi pin masuk aplikasi aman akses ubah pin klaim pakai,-1,-1
1,oke,1,1
1,mantap,1,1
1,great,1,1
1,update menggangu transaksi,0,1
1,daftar kode barcode aplikasi sampah,0,-1
1,oke,1,1
1,aplikasi cacat,-1,-1
1,telepon customer ubah data truk minggu ubah bikin rugi,0,-1
1,aplikasi error daftar barcode,0,-1
1,good,1,1
1,bagus subsidi bahan bakar minyak arah awas,1,1
1,gagal gagal kode otp kirim kirim data daftar sesuai data sesuai kirim kode otp sampah,-1,-1
1,sistem update daftar lancar,1,-1
1,bagus tinggal edukasi sdm depot isi paham,1,1
1,good,1,1
1,aplikasi sampah daftar aplikasi error era digital sok pakai aplikasi mudah susah,-1,-1
1,mudah konsumen,1,1
1,terima kasih aplikasi bantu isi bahan bakar minyak,0,0
1,bagus,1,1
1,bayar mudah cepat,1,1
1,sulit sih,-1,-1
1,kategori subsidi akses coba ber ulang kali email respon hub customer service feedback,0,0
1,kendara barcodenya pakai,0,-1
1,susah sopir handphone android ganti email data isi mypertamina memyusahkan orang da sopir,-1,-1
1,daftar kendara bahan bakar minyak subsidi aplikasi browser hasil,0,0
1,daftar aplikasi web salah sistem silah coba hub kali customer ganti handphone daftar web hasil bilang cek kala sistem luncur,0,-1
1,aplikasi bagus daftar susah,1,1
1,oke,1,1
1,susah,-1,-1
1,oke mantap,1,1
1,bantu bikin barcode bahan bakar minyak pertalite mobil,0,-1
1,buruk,-1,-1
1,mantap,1,1
1,aplikasi error kh unggah foto stnk sma foto mobil tulis coba,0,-1
1,oke mantap,1,1
1,daftar login atur abal abal,-1,-1
1,tolong aplikasi baru lengkap aplikasi aplikasi guna masyarakat bikin sulit,-1,-1
1,coba foto stnk barcode pakai galeri susah lansung foto,-1,-1
1,ayo lupa sandi reset sandi muncul pop up link kedaluwarsa coba pegawai pertamina pom respon bantu tolong solved capai benar hasil,0,0
1,aplikasi buruk daftar mobil bayar pajak mobil nomor polisi registrasi masuk korlantas sulit pakai fasilitas negara warga indonesia sulit brengsek,-1,-1
1,sayang pom pertamina terima bayar aplikasi pom pom pinggir jalan lintas kota provinsi aplikasi sih bagus bantu keluar pakai bahan bakar minyak bulan atur history guna aplikasi terima kasih,1,1
1,respon transaksi,0,0
1,daftar,0,-1
1,aplikasi sampah kali verifikasi tolak aplikasi stabil perintah bisa bikin rakyat susah gampang daftar kendara,-1,-1
1,aplikasi buruk verifikasi data asyik ganggu sistem tolong baik aplikasi,-1,-1
1,kali coba daftar gagal sistem mohon baik,1,-1
1,otp was working whatsapp pesan terima kasih,0,0
1,guna,0,-1
1,oke,1,1
1,mantap,1,1
1,hubung gopay mantap pakai aplikasi pakai gopay malam isi pom margonda depok pegawai kasih langsung unduh langsung pakai gopay,1,1
1,daftar gagal ber ulang kali daftar gagal,-1,-1
1,terima kasih kerjasamanya mudah bidang teknologi modern,1,1
1,tolak bayar via bantu malas ambil uang atm,-1,0
1,oke,1,1
1,daftar qr susah gagal coba kali,-1,-1
1,serius aplikasi usaha buruk busuk error mana server lot data error malu sih,-1,-1
1,oke,1,1
1,si sesuai nopal nomor polisi sesuai tengok capai daftar,0,-1
1,sih isi bensin tuh pertalite kadang karyawan isi mobil kacau pertamina pakai barcode barcode biar jam isi bensin kecewa,-1,-1
1,call center urut nomor tunggu jam tunggu,-1,-1
1,qr mypertamina gagal notifikasi nik sesuai verifikasi daftar maksud website hasil nik daftar verifikasi,-1,-1
1,simpel,0,0
1,mantap lancar jaya,1,1
1,mantap,1,1
1,need improvement,0,0
1,tugas ramah,1,1
1,daftar hasil kode qr muncul san muncul tulis muat ulang,0,0
1,mudah,1,1
1,parah sih daftar selalu sistem masalah coba selalu masyarakat harus pakai barcode sulit administrasi,-1,-1
1,akurat mudah transaksi,1,1
1,tolong metode bayar dana guna dana mudah transaksi ovo gopay linkaja,1,1
1,tolak verifikasi alas daftar korlantas samsat urus database muncul korlantas tolak,0,-1
1,baik,1,1
1,aplikasi payah bolak daftar kendara tolak tulis data pakai data data sesuai ktp stnk tolak,-1,-1
1,aplikasi bagus minus hutang,1,1
1,salah sistem,0,-1
1,oke,1,1
1,bayar pajak ganti plat nomor material kertas stnk satlantas habis bekal stempel lembar bpkb tentu laku ganti stnk update mypertamina nomor polisi kendara tolak foto tanda bukti lunas wajib bayar aplikasi solutif sulit,-1,-1
1,isuzu traga roda nomor polisi mobil daftar mypertamina noka nomot plat valid kabupaten daerah tinggal aplikasi kecewa tolong baharu,-1,-1
1,mantap,1,1
1,oke,1,1
1,aplikasi bodoh data sesuai gagal mobil xenia gin hidup negara,-1,-1
1,didik bikin aplikasi ujung akses web buruk,-1,-1
1,lanjut data unit,0,1
1,registrasi kali ambil foto shame on you,0,-1
1,aplikasi,0,-1
1,good,1,1
1,aplikasi kaya sial daftar gagal,-1,-1
1,unggah data kendara gagal pemberitahuan salah sistem mohon baik,0,-1
1,pekan desember tanggal jan nomor polisi sesuai telepon respon mesin email alamat lampir arah template ubah data baharu data unggah data arah ambil foto unit langsung sesuai pandu tolak alas nomor polisi sesuai,-1,-1
2,tolong baik setting kamera kamera langsung mode ultrawide baca huruf unggah pakai kamera,1,1
2,aplikasi hapus kendara ganti kaleng tambah ganti nomor plat kendara daftar nomor polisi tolak terang nomor polisi stnk sesuai nomor polisi kendara sesuai masuk sesuai tolong arah admin,1,-1
2,oke mohon metode bayar,1,1
2,mypertamina mantap,1,1
2,tolong baik sistem daftar kendala sistem gagal mohon baik kualitas kamera kamera buram flash daftar susah tolong kembali kualitas terima kasih,1,-1
2,aplikasi foto fokus tolak buruk foto resolusi hasil bagus,1,-1
2,akun masuk klaim kode barcode langsung masuk data repot mah daftar ulang,1,-1
2,foto gagal aplikasi buruk ambil gambar bagus,-1,-1
2,komplain respon jawab terang barcode blokir isi syarat id lapor jelas tim tim sinambung selesai rugi barcode salah curi oknum spbu tegas tim kait tanggung,-1,-1
2,aplikasi sulit fitur foto ktp stnk mode buram tolong bantu subsidi ikhlas sulit wajib taat pajak stnk versi baru foto susah niat subsidi verifikasi butuh,-1,-1
2,mantap,1,1
2,laris sulit desain chrome admin ubah ubah sistem daftar program perintah pakai foto handphone pakai foto live susah bidik kamera bagus sulit guna,-1,-1
2,mobil tua daftar barcode pajak mati warna mobil sesuai warna besi tinggal stnk rusak bayar pajak miskin mohon hilang barcode pakai barcode orang kaya mobil mewah susah mobil buruk isi tamak,-1,-1
2,susah bikin barcode,-1,-1
2,fitur ganti nomor hubung gopay ovo,0,-1
2,daftar susah tolak data sesuai isi minyak pakai barcode dapat barcode susah ampun benah,-1,-1
2,proses kendala pindai stnk alas stnk hologram buka hologram tulis stnk buka sobek admin,-1,-1
2,mantap mantap,1,1
2,admin roda ganti langsung otomatis roda mobil pilih otomatis verifikasi tambah barcode blokir atas selesai atas tolong bantu admin biar alami selesai isi solar admin barcode atas proses tolong bantu,1,-1
2,aplikasi customer pcc kocak mobil daftar isi formulir mohon tuju daftar ulang hubung customer pcc suruh isi formulir mohon coba isi formulir mohon tunggu bulan hubung pcc suruh daftar pasti tidak aplikasi customer pcc buruk,1,-1
2,aplikasi customer whatsapp rekrut cepat worth call center email telepon via video call aplikasi antri urgent,1,-1
2,sial,0,-1
2,foto kamera stnk pilih kualitas foto pilih galeri foto buram kamera handphone jernih,1,-1
2,login reset pin link masuk whatsapp,0,0
2,website subsidi sulit pakai ktp digital website kelas perintah sulit ambil foto ktp galeri bikin bijak imbang teknologi mudah kantor sulit,-1,-1
2,ambil gambar galeri langsung foto aplikasi,1,-1
2,bantu,0,0
2,unggah ktp pakai aplikasi susah fokus,-1,-1
2,mantap lancar,1,1
2,verifikasi data lurah pilih ketik manual,0,-1
2,mantap sasar,1,1
2,bayar gas bumi login,1,0
2,data tolak terang libat halang kamera aplikasi web buram aneh,1,-1
2,oke,1,1
2,luncur notifikasi kirim selamat sistem sulit,-1,-1
2,daftar tolak,0,-1
2,masuk chrome sandi pakai abjad aplikasi sandi nomor,0,0
2,baru unggah foto stnk bentuk jpg susah daftar subsidi tepar,-1,-1
2,registrasi susah sulit cocok dinjadiin slogan kali kesal serius ubah bintang benar sistem,-1,-1
2,jangkau indonesia,0,-1
2,data hack email balas,0,-1
2,qr bayar kamera buram bayar aplikasi aplikasi mobile banking qr bayar,0,1
2,tolong baik kali daftar error,1,1
2,manfaat,0,0
2,mantap,1,1
2,daftar sulit foto kali ktp suruh ulangin aneh aplikasi coba butuh pakai barcode pakai,-1,-1
2,nice,1,1
2,daftar barcode cepat verifikasi sulit aplikasi sampah,-1,-1
2,perdana isi pakai mypertamina ojol lancar mantap voucher subsidi ojol gojek aplikasi asli anak bangsa hehe,1,1
2,oke,1,1
2,registrasi,0,0
2,oke,1,1
2,salah input edit spbu bantu buat suruh bayar,-1,0
2,masuk nomor daftar login bilang format salah,-1,-1
2,foto stnk unggah,0,-1
2,oke,1,1
2,aplikasi bagus unit pemberitahuan aplikasi sibuk,1,1
2,mantap,1,1
2,oke,1,1
2,bantu,0,0
2,unggah foto kendara,0,-1
2,aplikasi manfaat bayar mypertamina spbu tolak kali alas terima cash kecewa,-1,0
2,kecewa voucher pakai potong dana linkaja,-1,0
2,layan pds semua semua layan pds,0,1
2,cek mypertamina,0,1
2,mantap,1,1
2,maaf kasih bintang mohon baik lokasi tolong arah aplikasi maps salah mohon baca admin pertamina,-1,1
2,keren,1,1
2,layan,0,1
2,tarik bantu,0,0
2,terima kasih,0,1
2,daftar unit gagal alas sistem error tolong selesai,-1,-1
2,keren,1,1
2,bagus,1,1
2,registrasi nomor handphone daftar reset pin login format salah nomor handphone daftar daftar mau aplikasi plin plan gin,-1,-1
2,aplikasi buruk kirim data hasil salah sistem kirim data kendara jam suruh coba gila,-1,-1
2,isi data bilang kode area sesuai ktp data sesuai ktp kali kali ulang bikin kesal,-1,-1
2,qr akun subsidi hapus tolong sangkut kembali baik,0,1
2,is the baik,1,1
2,bintang,0,1
2,update login ulang mekanisme ambil barcode sulit tipikal aplikasi bumn hati pakai mudah guna paksa sulit adaptasi aplikasi,-1,-1
2,aplikasi tolol,-1,-1
2,lihat barcode pertamina,0,-1
2,terkadang kendara daftar gagal susah tuk daftar,-1,-1
2,mantap simpel,1,1
2,good job,1,1
2,oke,1,1
2,oke,1,1
2,mutu layan pertamina pom bagus moga langka bahan bakar pertalite bahan bakar,1,1
2,aplikasi simpel isi minyak non subsidi spbu,0,0
2,gin coba salah sistem mohon coba akun sulit,-1,-1
2,daftar gagal data roda ubah roda tolak verifikasi data,-1,-1
2,kondousip,0,1
2,aplikasi sih susah ikut klik centang bolak,-1,-1
2,sedih kemudi beaf isi liter pertamax daerah batim terima,-1,0
2,inovasi tiada henti keren,1,1
2,mantap,1,1
2,aplikasi layak pakai sistem,0,-1
2,simpel banding bayar pakai uang kontan,0,0
2,dar saran fitur bayar dana simpel praktis terima kasih,0,1
2,ganti nomor handphone nomor aktif,-1,-1
2,barcode muncul,0,0
2,aplikasi buka stack,0,0
2,bikin atur isi data gagal saran orang spbu admin huh,-1,-1
2,ramah mas operator,1,1
2,sulit,-1,-1
2,metode bayar gagal coba gagal potong bayar simpan kartu metode bayar,-1,1
2,aplikasi buruk bantu sebentar bentar update,-1,0
2,hidup susah beli pertalite pindai barcode sasar apa iya,-1,-1
2,erti pakai sulit,-1,-1
2,aju hapus akun proses selesai selesai solusi,1,-1
2,aplikasi buruk repot,-1,-1
2,oke,1,1
2,tuju aplikasi yah karyawan sih maaf,-1,-1
2,good,1,1
2,puas,1,1
2,good,1,1
2,aplikasi salah sistem terus daftar mal niat aplikasi arah orang unduh aplikasi isi bensin,0,-1
2,sulit parah keluh mah susah login barcode,-1,-1
2,aplikasi sial daftar susah guna susah,-1,-1
2,mantap pokok mahh,1,1
2,aplikasi cacat allah puluh kali foto stnk hasil,0,-1
2,aplikasi lot,0,1
2,mantap,1,1
2,good,1,1
2,bantu,0,0
2,mau sih pertamina bikin susah masyarakat ambil foto ktp suruh lengkap data kecewa,-1,-1
2,capai daftar akun verifikasi tinggal daftar kendara masuk ganggu pakai laptop,0,-1
2,mudah,1,1
2,update baru belit belit,1,1
2,praktis mudah,1,1
2,oke,1,1
2,suka,0,1
2,bagus,1,1
2,terima kasih perintah susah rakyat premium pertalite pakai daftar barcode hari daftar foto sulit jaring telkomsel buruk isi pertamax terima kasih susah susah rakyat,-1,-1
2,bantu,0,0
2,terima kasih mypertamina berkat aplikasi subsidi bahan bakar minyak hafal nomor nik nomor rangka unggah data gagal mantap tahan,-1,1
2,sulit,-1,-1
2,aplikasi daftar web hasil aplikasi hasil hapus akun aplikasi terang proses mutu suka uang kerja,1,-1
2,coba moga mudah lancar isi bahan bakar minyak sukses mypertamina aamiin,1,1
2,mantap lancar jaya,1,1
2,mantap,1,1
2,login sulit,-1,-1
2,mantap,1,1
2,sandi klaim arah tolong reset,0,-1
3,ting kamera wide,-1,1
3,kemarin fitur unggah berkas daftar subsidi,0,1
3,mantap,1,1
3,good,1,1
3,ambil foto nge buram heran kamera handphone buruk jelek pilih foto galeri gilir ambil foto gambar buram fokus verifikasi tolak salah aplikasi,-1,-1
3,aneh gagal verifikasi alas gagal stnk contoh tulis baca gagal anggar bumn aplikasi beres,-1,-1
3,spbu aplikasi gilir bayar pakai mypertamina error,0,0
3,ambil barcode,0,-1
3,daftar jirrrr foto ktp tolak jir,0,-1
3,kaya tanggap coba ulang kali unggah ktp hubung email solusi butuh mohon baik,1,-1
3,kendala daftar kendara coba kali solusi buat sistem kirim data stnk foto kendara gagal pesan salah sistem silah coba,-1,-1
3,susah orang,-1,-1
3,sulit masyarakat aplikasi baru kaya gin repot bikin ambil galeri foto ktp langsung foto tolong adakan aw buat terima kasih,-1,-1
3,ambil gambar ktp super buruk habis ktp bilang pakai kamera super,-1,-1
3,kamera web foto stnk besar fokus hasil buram tolak ulang kali sulit registrasi,-1,-1
3,bagus,1,1
3,foto stnk ambil galeri kaya,1,-1
3,cepat pakai antri,1,1
3,tadu unduh gagal cepat,-1,1
3,kali kali foto stnk buram gambar buram foto kamera tolong benar bikin sulit masyarakat,-1,-1
3,kacau mypertamina verifikasi tolak data database tolong woi ambil galeri foto kamera,0,-1
3,aplikasi aneh verifikasi data sesuai gagal isi keliru,-1,-1
3,server masalah,0,-1
3,tolong baik kamera unggah stnk buram kamera bagus ambil galeri pakai kamera bawa bagus ambil galeri tolong baik,1,1
3,aplikasi beban lihat qr sulit login,-1,-1
3,barcode orang coba bikin adu gagal gagal aplikasi cacat,-1,-1
3,unggah stnk gagal,-1,-1
3,sistem sibuk ikut atur susah,-1,-1
3,bantu,0,0
3,good,1,1
3,update posisi letak spbu nitik kebun kebun sesuai,0,0
3,aplikasi bagus akses subsidi suruh foto stnk selesai sesuai mb error kamera aplikasi milik rating jelek bikin kesal opsi pilih galeri wow cerdas sulit orang saran pilih unggah galeri moga orang tanggung benah doa rasa pecat miskin,-1,-1
3,daftar langsung qr kek suruh tunggu lapor keluh selesai tunggu selesai tuju daftar roda roda menu bikin keluh tunggu bulan jam parah stnk bpkb jenis bahan bakar minyak solar masuk pertalite otomatis qr guna kacau sulit habis kek,-1,-1
3,buruk layan buruk buruk akses ratus juta orang gampang,-1,-1
3,kesini sulit ambil foto stnk mobil galeri ambil foto fokus ukur foto enak enak versi ambil foto galeri update kek gin sulit ambil foto buram,1,-1
3,oke gas oke gas,1,1
3,cinta produk negeri bahan bakar minyak indonesia,1,1
3,registrasi tuk unggah foto ktp stnk pakai aplikasi playstore google chrome,0,-1
3,mohon baik sulit unggah file jpg foto terang bantu unggah file jpg,1,1
3,mudah,1,1
3,mantap,1,1
3,oke mypertamina,1,1
3,aplikasi bikin orang sulit susah keluh nomor tanggal desember komplain tanggal desember ikut up solved omong data mypertamina kendara volume silinder tulis roda sistem mending cancel kerja bisa susah orang,-1,-1
3,good job,1,1
3,aplikasi dana mudah,1,1
3,mudah,1,1
3,bantu beli bahan bakar minyak pertamina,0,0
3,mantap,1,1
3,minggu daftar kendara kena gagal sistem hubung call center kali solusi masuk data nomor dihubungin ubah gagal sistem hubung kait kendala,-1,-1
3,bagus,1,1
3,bingung habis bahan bakar minyak bulan,-1,-1
3,error customer respon,0,0
3,barcode aneh,-1,-1
3,qr,0,0
3,sih daftar subsidi salah sistem loh coba tolong,-1,-1
3,fitur oke metode bayar lumayan lengkap isi bahan bakar minyak spbu tugas bilang mypertamina unduh spbu situ barcode unduh aplikasi mypertamina,1,1
3,moga manfaat,1,0
3,mantap,1,1
3,coba,0,-1
3,mantap,1,1
3,aplikasi abal abal mudah blokir barcode,-1,-1
3,bikin emosi daftar sulit,-1,-1
3,aplikasi repot,0,1
3,layan,0,1
3,voucher elektronik mypertamina kasih bayar terang voucher metode bayar aplikasi error hih,1,0
3,aplikasi bagus,1,1
3,bahan bakar minyak ber subsidi,0,1
3,susah kode barcode isi data lengkap payah,-1,-1
3,mantap bantu,1,1
3,oke kamera lot,1,1
3,unduh aplikasi update kurang daftar bikin atur susah masyarakat,-1,-1
3,oke,1,1
3,layan sesuai prosedur operasi standar,0,1
3,barcode subsidi barcode salin curi orang tanggung batas limit isi bahan bakar minyak pakai habis tugas spbu isi habis limit main isi pindai barcode periksa sesuai nomor polisi pokok main pindai main colok atur perintah konyol,-1,0
3,update,0,0
3,kadang puas kadang kecewa layan pom bensin,-1,1
3,terima kasih bantu masyarakat,0,1
3,oke,1,1
3,coba ratus kali pakai web aplikasi ganggu sistem mypertamina sistem pasar parah parah,-1,-1
3,aplikasi ngawur koneksi gopay,-1,1
3,good,1,1
3,mantap,1,1
3,menu barcode,0,-1
3,plus nilai bikin ringkas sulit rumit,-1,-1
3,bantu,0,0
3,oke,1,1
3,tolong baik layan scan hati hati pakai handphone iqoo kamera lumayan bagus aplikasi pindai qr cepat aplikasi susah bayar pakai mypertamina ribut tugas gara gara aplikasi error,1,1
3,mantap,1,1
3,ganti pin blokir aduh parah,-1,-1
3,sulit foto stnk bpkb ktp ambil galeri foto langsung sulit mudah foto langsung bpkb bank leasing solusi barcode isi bahan bakar minyak spbu tugas bantu apa tolak solusi tolong baik donggg kek ambil foto galeri,1,-1
3,kelas bumn besar web daftar kendara aplikasi sok aplikasi hambat kerja,-1,-1
3,buruk pp daftar ambil qr update bagus,1,-1
3,layan cepat,1,1
3,aplikasi buruk akun,-1,-1
3,bantu,0,0
3,bantu terima kasih mypertamina,0,0
3,bagus,1,1
3,mudah,1,1
3,lambat kadang log out,-1,-1
3,bantu mudah,1,1
3,aplikasi kek sial data tinggal posting data tunggu sistem bodoh inti sulit subsidi sulit orang,-1,-1
3,muat ulang daftar,0,0
3,bagus,1,1
3,sulit rakyat mudah orang duit indonesia rakyat subsidi beli pertalite sulit pakai barcode rakyat aplikasi contoh negara malaysia subsidi murah bahan bakar minyak rakyat,-1,-1
3,daftar data valid tolak nomor polisi sesuai nomor polisi kirim email customer pertamina bingung alhamdulillah email kasih ulas balas tanggal januari aplikasi hasil verifikasi terima kasih,-1,0
3,bantu,0,0
3,cashback,0,1
3,bagus,1,1
3,program aneh coba unit error sistem pom bensin orang atur suruh hubung customer pertamina hubung customer kasih saran youtube coba bilang langsung tutup telepon customer program nasional wajib warga negara indonesia server solusi korup,-1,-1
3,lancar,0,1
3,aplikasi jaman mudah isi bensin sulit isi bensin barcode coba enak,1,1
3,good,1,1
3,mantap,1,1
3,mantap,1,1
3,pantes jasa bikin barcode bikin sulit foto ktp pencet oke kamera haha uninstall bayar calo,1,1
3,aplikasi perintah bagus,1,1
3,uang kembali transaksi januari spbu kletek taman sidoarjo ribu belit layan kembali uang sistem qris bejat,0,1
3,mantap ama,1,1
3,bantu,0,0
3,oke,1,1
3,salah sistem tolong lh bantu,0,-1
3,oke,1,1
3,cepat antri,0,1
3,mudah transaksi bahan bakar minyak,1,1
3,praktis,0,1
3,bantu,0,0
3,verifikasi tolak suruh masyarakat pakai aplikasi beli bahan bakar minyak aplikasi pakai baik aplikasi kacau,1,-1
3,tolong direktur pertamina slogan sesuai realita lapang slogan ganti gantung realita isi bahan bakar minyak manfaat mayoritas spbu khusus spbu kota medan cari untung isi full tank manfaat cari untung isi full tank isi contoh rp ribu kasih bukti admin bukti,1,0
3,aplikasi error paksa susah rakyat isi bahan bakar minyak sih capai isi data foto gilir kirim data respon sma loading kek indikasi tanda gagal jaring,-1,-1
3,buruk bantu daftar kendara keluarga unggah foto stnk foto langsung inti buruk buruk,-1,-1
3,praktis,0,1
3,oke bantu layan cepat,1,1
3,aplikasi sulit rakyat,-1,-1
3,mantap lancar cepat,1,1
3,muat laman subsidi,0,0
3,susah buka,-1,-1
3,good,1,1
3,sulit daftar sesuai,-1,-1
3,aplikasi mentok foto stnk mobil foto masuk daftar aplikasi daftar susah ampun beli pertalite bikin sulit gin beli pertalite,-1,-1
3,status daftar nomor polisi yaaak admin,0,0
3,oke,1,1
3,aplikasi ambil foto ktp,0,-1
3,daftar verifikasi bayar bank pasang nomor orang takut nomor verifikasi handphone orang,-1,-1
3,oke,1,1
3,pilih edit data transportasi,0,-1
4,good,1,1
4,kualitas kamera aplikasi buruk baca tuh stnk kamera buruk,-1,-1
4,daftar gagal foto stnk seta ganti foto stnk ganti nomor polisi sesuai coba,-1,-1
4,my pertamina pakai orang login masuk gagal,-1,-1
4,sosial media pertamina chat balas adu,1,0
4,good,1,1
4,bagus,1,1
4,foto buram verifikasi ambil galeri ning mudah bikin susah,-1,-1
4,sungguh sulit daftar handphone kualitas rendah foto stnk buram mesti tolak alangkah baik menu ambil galeri mohon bantu kasihan isi bahan bakar minyak sulit,-1,-1
4,dar tarif bahan bakar minyak aplikasi,0,1
4,aplikasi sulit ambil foto stnk,-1,-1
4,kamera foto berkas pakai kamera ultrawide kamera utama akses aplikasi paham kamera ultrawide milik hasil foto bagus kamera utama bagus ultrawide tolong timbang kembang kasihan masyarakat daftar hasil foto gagal,1,1
4,solusi pusat bantu daftar mypertamina vc unit mobil,-1,0
4,tanggal kemarin kirim email sanggah negative list kode qr blokir alas isi bensin kapasitas qr blokir isi subsidi nyata syarat jelas follow up kait minggu chat email facebook instagram jawab suruh tunggu kecewa,-1,-1
4,mantap alhamdulillah jadzakallaah khair kashiraahu,1,1
4,poin bayar cash tunai kompetitor belah,0,1
4,unggah foto stnk unggah galeri file unggah kamera langsung buram sebab verifikasi tolak bikin darah unggah stnk kamera foto buram mohon baik baik kecewa unggah foto buram pakai android,-1,-1
4,mantap,1,1
4,cepat praktis aman,1,1
4,admin daftar ubah nomor plat gagal,-1,-1
4,buruk kualitas kamera buram,-1,-1
4,bagus,1,1
4,good,1,1
4,coba web aplikasi dua tolak coba kali tolak terang mobil daftar beli mobil second barcode kayak solusi bismillah moga ulas mypertamina depan temu solusi,1,-1
4,aplikasi salah sistem urgent sulit fitur kamera langsung aplikasi lot handphone lot tolong kembang mang bijak perhati mudah akses,1,1
