content,sentiment,label
tolong baik setting kamera kamera langsung mode ultrawide baca huruf unggah pakai kamera,positif,1
jelas guna,positif,1
aplikasi tingkat tolong baik susah indonesia tolong sulit mohon ambil foto stnk galeri handphone potret langsung tolong baik,positif,1
aplikasi hapus kendara ganti kaleng tambah ganti nomor plat kendara daftar nomor polisi tolak terang nomor polisi stnk sesuai nomor polisi kendara sesuai masuk sesuai tolong arah admin,positif,1
saran depan sedia import gambar galeri stnk ktp kali gagal maklum handphone pada kamera,negatif,-1
barcode,netral,0
qr kode muncul hasil verifikasi,netral,0
good,positif,1
tolong tim baik sistem isi bahan bakar minyak subsidi kuota tinggal kemarin isi bahan bakar minyak transaksi pemberitahuan riwayat bayar aplikasi contoh bayar tunai pantau penyalahgunaan barcode,positif,1
sulit barcode mohon mudah rakyat indonesia,negatif,-1
aplikasi capai lelah isi data sistem masalah tolong pertamina,negatif,-1
ukur foto biar susah,negatif,-1
kesal kali foto stnk foto kamera foto anggap buram,negatif,-1
mantap,positif,1
mudah sulit unggah foto ulang ulang,positif,1
unggah stnk susah mati,negatif,-1
kualitas kamera aplikasi buruk baca tuh stnk kamera buruk,negatif,-1
daftar gagal foto stnk seta ganti foto stnk ganti nomor polisi sesuai coba,negatif,-1
woyy tolong sok pakai atur barcode urus aplikasi selesai proses reset minggu ganggu kamera bikin buruk buram baik please konsumen tolong buat barcode bikin sulit kamera buruk handphone mahal sekligus lelah,negatif,-1
djmt daftar salah habis anggar,negatif,-1
habis update unggah foto stnk susah foto stnk tolak foto sih subsidi daftar susah gin,negatif,-1
oke mohon metode bayar,positif,1
mantap,positif,1
aplikasi buruk barcode pakai spbu coba cari barcode kendara aplikasi mypertamina unduh menu cari barcode kendara daftar isi data ulang ulang isi data nomor kendara cari daftar barcode unduh pakai kali kali isi bahan bakar minyak,negatif,-1
puas bantu ekonomi,positif,1
mypertamina mantap,positif,1
ubah stnk tahun nomor polisi kendara ubah daftar ulang sulit rubah nomor polisi ubah daftar ulang,negatif,-1
tolong baik sistem daftar kendala sistem gagal mohon baik kualitas kamera kamera buram flash daftar susah tolong kembali kualitas terima kasih,positif,1
mantap muas,positif,1
daftar barcode qris update isi ulang haduuhhh sulit,negatif,-1
my pertamina pakai orang login masuk gagal,negatif,-1
ting kamera wide,negatif,-1
oke mantap,positif,1
sosial media pertamina chat balas adu,positif,1
aplikasi subsidi daftar sulit data full foto stnk bpkb tolak beli mobil bekas unggah tolak kecewa moga spbu shell cepat balikpapan,negatif,-1
bantu,netral,0
mantap,positif,1
good,positif,1
bagus,positif,1
unggah foto ktp gagal susah,negatif,-1
kemarin fitur unggah berkas daftar subsidi,netral,0
pegawai pom banyak canda bicara isi,netral,0
pertamina call center hubung pesan gas blora jawa janji jam pagi jam silah,negatif,-1
praktis sulit bawa uang cash,negatif,-1
aplikasi foto fokus tolak buruk foto resolusi hasil bagus,positif,1
foto buram verifikasi ambil galeri ning mudah bikin susah,negatif,-1
daftar subsidi sulit akses mohon baik,positif,1
kesini unggah stnk sulit baca fokus handphone mending menyantumkan foto saran mah susah orang lot foto stnk hadeehhh suram suram,negatif,-1
sulit daftar bahan bakar minyak subsidi isi data jungkir habis kuota mudah rakyat selamat nikmat ruwet,positif,1
terima foto ktp pemberitahuan tulis merah verifikasi foto ktp gagal aplikasi buruk susah masyarakat bossss tolong bantu masyarakat,negatif,-1
oke,positif,1
aplikasi bantu mudah,positif,1
qr customer tampil,netral,0
daftar nomor rang mob plat baca aplikasi roda solusi,netral,0
login nomor pin,netral,0
blokir bikin normal,positif,1
sulit bikin susah rakyat,negatif,-1
sungguh sulit daftar handphone kualitas rendah foto stnk buram mesti tolak alangkah baik menu ambil galeri mohon bantu kasihan isi bahan bakar minyak sulit,negatif,-1
baik pom ciatel,positif,1
akun masuk klaim kode barcode langsung masuk data repot mah daftar ulang,positif,1
mantap,positif,1
buruk susah ambil subsidi negeri,negatif,-1
mantap,positif,1
foto gagal aplikasi buruk ambil gambar bagus,negatif,-1
susah foto ktp menu edit pilih galeri gagal,negatif,-1
dar tarif bahan bakar minyak aplikasi,netral,0
sulit,negatif,-1
susah lambat,negatif,-1
tolong sulit lalap gagal daftar sesuai suruh heran,negatif,-1
aplikasi sulit,negatif,-1
klik ambil foto foto buram buruk susah,negatif,-1
komplain respon jawab terang barcode blokir isi syarat id lapor jelas tim tim sinambung selesai rugi barcode salah curi oknum spbu tegas tim kait tanggung,negatif,-1
aplikasi sulit ambil foto stnk,negatif,-1
sulit mudah,positif,1
aplikasi sampah cerita digital buat perintah eh saking buruk unggah data hasil banyak korup ua gnya kali biaya aplikasi hasil aplikasi abal bikin anak ajar software,negatif,-1
oke,positif,1
sulit masyarakat,negatif,-1
aplikasi sulit fitur foto ktp stnk mode buram tolong bantu subsidi ikhlas sulit wajib taat pajak stnk versi baru foto susah niat subsidi verifikasi butuh,negatif,-1
good,positif,1
pertamina kirim kode otp registrasi whatsapp pesan coba ulang handphone android pakai wifi,netral,0
update lokasi spbu nomor lokasi sesuai,netral,0
mantap,positif,1
ambil foto nge buram heran kamera handphone buruk jelek pilih foto galeri gilir ambil foto gambar buram fokus verifikasi tolak salah aplikasi,negatif,-1
aneh gagal verifikasi alas gagal stnk contoh tulis baca gagal anggar bumn aplikasi beres,negatif,-1
spbu aplikasi gilir bayar pakai mypertamina error,netral,0
ambil barcode,netral,0
daftar jirrrr foto ktp tolak jir,netral,0
atur fokus aplikasi fitur cahaya pindai stnk hasil buram baca aplikasi,positif,1
tangan daftar unit lambat minggu daftar unit gara daftar roda mobil tuju subsidi sulit rakyat,negatif,-1
sulit,negatif,-1
daftar ganti plat pajak ganti plat daftar kode qr,netral,0
kamera foto berkas pakai kamera ultrawide kamera utama akses aplikasi paham kamera ultrawide milik hasil foto bagus kamera utama bagus ultrawide tolong timbang kembang kasihan masyarakat daftar hasil foto gagal,positif,1
susah daftar pakai ktp,negatif,-1
akun,netral,0
mantap,positif,1
kaya tanggap coba ulang kali unggah ktp hubung email solusi butuh mohon baik,positif,1
masuk foto stnk galeri foto langsung gagal stnk sesuai,negatif,-1
tingkat bagus batu,positif,1
kelas otp masuk masuk,netral,0
laris sulit desain chrome admin ubah ubah sistem daftar program perintah pakai foto handphone pakai foto live susah bidik kamera bagus sulit guna,negatif,-1
mobil tua daftar barcode pajak mati warna mobil sesuai warna besi tinggal stnk rusak bayar pajak miskin mohon hilang barcode pakai barcode orang kaya mobil mewah susah mobil buruk isi tamak,negatif,-1
coba,netral,0
solusi pusat bantu daftar mypertamina vc unit mobil,negatif,-1
bagus,positif,1
tolong update aplikasi aju kali tolak foto stnk murni salah aplikasi kamera buram buka aplikasi mypertamina buka aplikasi bawa handphone kamera bagus buram,positif,1
mudah transaksi terima kasih,positif,1
tugas erti bayar pakai my pertamina erti malas,negatif,-1
tolong tambah metode bayar via dana,netral,0
manfaat,netral,0
tanggal kemarin kirim email sanggah negative list kode qr blokir alas isi bensin kapasitas qr blokir isi subsidi nyata syarat jelas follow up kait minggu chat email facebook instagram jawab suruh tunggu kecewa,negatif,-1
bantu,netral,0
kendala daftar kendara coba kali solusi buat sistem kirim data stnk foto kendara gagal pesan salah sistem silah coba,negatif,-1
praktis,netral,0
mantap,positif,1
tambah unit subsidi subsidi data kirim salah sistem kali kali coba,negatif,-1
susah bikin barcode,negatif,-1
bagus,positif,1
fitur ganti nomor hubung gopay ovo,netral,0
daftar gagal blanko stnk habis telepon call center solusi stempel blanko tanda proses tolong depa solusi,negatif,-1
puas,positif,1
mantap,positif,1
atur susah barcode kedaluwarsa update daftar ulang sulit stnk terang,negatif,-1
mantap alhamdulillah jadzakallaah khair kashiraahu,positif,1
daftar susah tolak data sesuai isi minyak pakai barcode dapat barcode susah ampun benah,negatif,-1
proses kendala pindai stnk alas stnk hologram buka hologram tulis stnk buka sobek admin,negatif,-1
poin bayar cash tunai kompetitor belah,netral,0
bantu antri cruiser,netral,0
susah orang,negatif,-1
moga pom pakai mypertamina,netral,0
update sulit lambat my pertamina hemmm,negatif,-1
aplikasi sulit rakyat,negatif,-1
sulit masyarakat aplikasi baru kaya gin repot bikin ambil galeri foto ktp langsung foto tolong adakan aw buat terima kasih,negatif,-1
puas terima kasih layan bagus,positif,1
login format salah nomor handphone sandi ganti sandi,negatif,-1
ambil gambar ktp super buruk habis ktp bilang pakai kamera super,negatif,-1
mobil daftar,netral,0
unggah foto stnk unggah galeri file unggah kamera langsung buram sebab verifikasi tolak bikin darah unggah stnk kamera foto buram mohon baik baik kecewa unggah foto buram pakai android,negatif,-1
mantap mantap,positif,1
admin roda ganti langsung otomatis roda mobil pilih otomatis verifikasi tambah barcode blokir atas selesai atas tolong bantu admin biar alami selesai isi solar admin barcode atas proses tolong bantu,positif,1
foto aplikasi buram kali coba foto stnk gagal aplikasi sengaja susah registrasi aplikasi cus,negatif,-1
bayar linkaja,netral,0
update pakai curang spbu isi pegawai bilang pakai mypertamina pegawai kurang isi pegang lepas full tuas main pegawai jari tarik lepas isi curang isi drum dirigen tong laku layan isi aneh cctv bukti cek cctv,positif,1
seta ganti plat nomor niat update aplikasi fitur ambil foto stnk buram mohon baik kasih fitur ambil foto galeri,positif,1
kamera web foto stnk besar fokus hasil buram tolak ulang kali sulit registrasi,negatif,-1
input manual update enak susah baru mudah sulit,positif,1
aplikasi customer pcc kocak mobil daftar isi formulir mohon tuju daftar ulang hubung customer pcc suruh isi formulir mohon coba isi formulir mohon tunggu bulan hubung pcc suruh daftar pasti tidak aplikasi customer pcc buruk,positif,1
oke mantap laaaa,positif,1
aman daftar unggah foto stnk sulit mohon aplikasi baik admin,positif,1
foto stnk unggah mohon bantu foto unggah bagus foto baca sistem tolong pertamina foto unggah album mudah,positif,1
mantap,positif,1
kek bayar pakai gopay spbu mesin edc rusak rusak jamaah,negatif,-1
bagus,positif,1
foto stnk ambil galeri kaya,positif,1
kualitas buruk update unggah foto kamera buram fokus,negatif,-1
cepat praktis aman,positif,1
aplikasi customer whatsapp rekrut cepat worth call center email telepon via video call aplikasi antri urgent,positif,1
guna mudah kendala pom desa pom bayar pakai mypertamina moga optimal pom,netral,0
cepat pakai antri,positif,1
moga,netral,0
sial,netral,0
kamera ambil foto stnk kamera aktif buram sulit guna,negatif,-1
ajar,netral,0
kamera subsidi foto stnk daftar barcode kamera buram coba handphone susah daftar tolong baik,positif,1
sulit maksimal fitur,negatif,-1
lumayan wlo susah daftar,positif,1
tadu unduh gagal cepat,negatif,-1
admin daftar ubah nomor plat gagal,negatif,-1
aplikasi rang foto data stnk aplikasi hasil buram tes kamera bawa handphone cerah saran tambah fitur unggah sistem kamera aplikasi kurang resolusi olah handphone kamera buruk,positif,1
hasil update foto pilih pakai kamera default hasil tangkap foto serasa lambat lot turun kualitas aplikasi sulit daftar pakai handphone ram pakai handphone ram unggah foto stnk gagal pakai wifi data gambar mb gambar rasa beda susah unggah foto,negatif,-1
pom bensin tolak mesin rusak alat barcode bikin aplikasi,negatif,-1
foto kamera stnk pilih kualitas foto pilih galeri foto buram kamera handphone jernih,positif,1
aplikasi bagus tampil tagih gas kembang baik,positif,1
kali kali coba daftar unit verifikasi tolak alas foto stnk baca baca kamera aplikasi bikin buram,negatif,-1
manfaat ojek online,netral,0
gin susah susah,negatif,-1
kali kali foto stnk buram gambar buram foto kamera tolong benar bikin sulit masyarakat,negatif,-1
login reset pin link masuk whatsapp,netral,0
cepat pakai mypertamina,positif,1
bantu,netral,0
aplikasi buruk ambil foto kamera buram mb sih bikin rakyat susah beli solar pom liter nelayan pakai barcode barcode beli ecer rasa beda uang si selisih pas harga tolong bikin aplikasi sulit pakai kuota nyekik,negatif,-1
website subsidi sulit pakai ktp digital website kelas perintah sulit ambil foto ktp galeri bikin bijak imbang teknologi mudah kantor sulit,negatif,-1
ambil gambar galeri langsung foto aplikasi,positif,1
keren,positif,1
kaya galeri foto foto langsung stnk foto stnk asli langsung foto layar salin coba foto potong sering salah sistem foto buram fokus kamera tolong admin update foto galeri foto,positif,1
mohon buat barcode subsidi unggah foto stnk baik foto kamera buruk foto tempat cahaya terang,positif,1
isi bensin langsung pakai gopay,positif,1
bolak unggah data selesai verifikasi akun kabar,netral,0
mantap,positif,1
kacau mypertamina verifikasi tolak data database tolong woi ambil galeri foto kamera,netral,0
bagus,positif,1
terima kasih,netral,0
buruk kualitas kamera buram,negatif,-1
oke,positif,1
kendala hubung gopay metode bayar mohon baik terima kasih,positif,1
aplikasi aneh verifikasi data sesuai gagal isi keliru,negatif,-1
bagus,positif,1
aplikasi error,netral,0
sulit daftar foto stnk gagal aplikasi yaaallllahhh seng ter,negatif,-1
bantu,netral,0
bagus,positif,1
unggah ktp pakai aplikasi susah fokus,negatif,-1
tugas,netral,0
good salam mypertamina tolong bantu barcode subsidi pertalite pendar kendara akun verifikasi tolong arah terima kasih,positif,1
muat ulang,netral,0
barcode ulang kali reset barcode mobil pakai barcode atur verifikasi nomor plat barcode,netral,0
tolong baik foto stnk file mb atas salah,positif,1
server masalah,netral,0
tolong sistem baik ambil foto buruk hasil foto buram sulit bikin darah balik ambil foto galeri,negatif,-1
jual gas,netral,0
bantu aktivitas hari,netral,0
aplikasi bodoh fungsi rakyat susah pasang aplikasi bodoh,negatif,-1
pertamina bagus suka warga negara indonesia cinta produk indonesia,positif,1
cek tagih gas pgn,netral,0
baik akses kamera ganggu,positif,1
mantap,positif,1
mantap lancar,positif,1
buruk masak tolak kirim foto,negatif,-1
aplikasi pakai ambil foto izin aplikasi kamera izin admin,netral,0
sulit saat lihat barcode login daftar,negatif,-1
verifikasi data lurah pilih ketik manual,netral,0
update bagus nge error ayo guna turun bintang biar baik aplikasi,positif,1
sulit daftar barcode ulang kerja ade,negatif,-1
tolong baik kamera unggah stnk buram kamera bagus ambil galeri pakai kamera bawa bagus ambil galeri tolong baik,positif,1
good,positif,1
aplikasi buruk isi data lap habis isi isi verifikasi foto hasil menu foto ambil galeri harus foto settingan default kamera aplikasi mode wide aplikasi mudah bikin susah,negatif,-1
susah payah dapat poin ratus angin hujan poin hilang refresh bodoh tuh poin terima kasih,negatif,-1
aplikasi laku paksa karyawan spbu fake transaksi lawak pertamina,negatif,-1
qr kode mypertamina beli kendara show room bekas tangan kendara daftar nomor polisi my pertamina daftar mypertamina tolak mohon jelas saran terima kasih,netral,0
unduh isi jaga bilang pakai mypertamina,netral,0
registrasi pandu foto stnk foto mobil tolong jelas terima kasih,netral,0
oke,positif,1
coba web aplikasi dua tolak coba kali tolak terang mobil daftar beli mobil second barcode kayak solusi bismillah moga ulas mypertamina depan temu solusi,positif,1
aplikasi salah sistem urgent sulit fitur kamera langsung aplikasi lot handphone lot tolong kembang mang bijak perhati mudah akses,positif,1
kamera buruk input foto,negatif,-1
login nomor handphone pin reset pin pakai pin login,netral,0
cocok,positif,1
aplikasi beban lihat qr sulit login,negatif,-1
cacat gilir capai antri aplikasi error pergi tarik tunai antri,netral,0
mantap sasar,positif,1
pakai barcode ganti plat bikin barcode unggah stnk ganti handphone unggah galeri susah sih,negatif,-1
aplikasi buruk salah barcode sengaja barckode data kendara valid susah barcode faktor kurang kendara bahan bakar minyak terima kasih,negatif,-1
aneh aplikasi kendara daftar login web guna aplikasi buang anggar,negatif,-1
update,netral,0
mantap cepat aman,positif,1
stnk input galeri sungguh repot,positif,1
barcode orang coba bikin adu gagal gagal aplikasi cacat,negatif,-1
sulit ubah data kali foto stnk gagal kamera buram hadeuh sulit hidup sulit sulit ma aplikasi,negatif,-1
oke,positif,1
fungsi,netral,0
error kirim data stnk foto kendaran,netral,0
sulit,negatif,-1
good,positif,1
pds akses aplikasi baca maps masuk alamat susah beli gas sulit,negatif,-1
oke,positif,1
sistem masalah unggah dokumen kamera hasil buram aju tolak,netral,0
admin tolong kali verifikasi tolak foto stnk anggap hitam putih foto salin asli foto berkas stnk asli pakai iphone hasil buram png jpg jpeg tolong kasih solusi,positif,1
bayar gas bumi login,positif,1
unggah stnk gagal,negatif,-1
data tolak terang libat halang kamera aplikasi web buram aneh,positif,1
aplikasi nyaman daftar foto kamera aplikasi unggah stnk fokus susah daftar barcode,negatif,-1
akses halaman subsidi refresh halaman aplikasi bumn aplikasi anak magang buang label bumn mu malu malu in,netral,0
tolak foto stnk foto kamera aplikasi buruk foto fokus besar,negatif,-1
pulang update sistem enak susah aneh,positif,1
sistem sibuk ikut atur susah,negatif,-1
tolong baik subsidi tepat pegawai spbu barcode menit kemarin kemarin foto ubah kamera bawa handphone kamera google buruk buram,positif,1
bintang lanjut,positif,1
bantu,netral,0
coba daftar ulang kirim adu alamat email hasil kendara daftar isi formulir keluh kali unit daftar bantu,negatif,-1
oke,positif,1
unggah stnk ambil galeri langsung ambil foto kamera cembung normal jatuh sulit mudah,positif,1
good,positif,1
tugas spbu tolak isi bahan bakar pertalite alas barcode masalah,negatif,-1
mantap,positif,1
luncur notifikasi kirim selamat sistem sulit,negatif,-1
update posisi letak spbu nitik kebun kebun sesuai,netral,0
update data efektif,positif,1
tolong sulit masyarakat ekonomi tengah bawah pasang aplikasi registrasi hasil registrasi tolak lengkap data mobil lcgc beli bahan bakar susah ampun,negatif,-1
mantap,positif,1
turun bintang,negatif,-1
daftar tolak,netral,0
bagus,positif,1
aplikasi bagus akses subsidi suruh foto stnk selesai sesuai mb error kamera aplikasi milik rating jelek bikin kesal opsi pilih galeri wow cerdas sulit orang saran pilih unggah galeri moga orang tanggung benah doa rasa pecat miskin,negatif,-1
promo please,netral,0
daftar langsung qr kek suruh tunggu lapor keluh selesai tunggu selesai tuju daftar roda roda menu bikin keluh tunggu bulan jam parah stnk bpkb jenis bahan bakar minyak solar masuk pertalite otomatis qr guna kacau sulit habis kek,negatif,-1
masuk chrome sandi pakai abjad aplikasi sandi nomor,netral,0
update pakai kamera bawa aplikasi aplikasi susah rakyat kamera dukung aplikasi kaya sampah,negatif,-1
baru unggah foto stnk bentuk jpg susah daftar subsidi tepar,negatif,-1
good,positif,1
buruk layan buruk buruk akses ratus juta orang gampang,negatif,-1
kualitas bahan bakar minyak sampah mending isi shell vivo bp isi pertamax kaya ron cek tangki bahan bakar minyak keruh jernih,positif,1
oke,positif,1
salah sistem salah sistem salah sistem coba ratus kali hasil,negatif,-1
lambat layan email phone sulit masyarakat mobil roda roda proses selesai desember februari,negatif,-1
muas,positif,1
oke,positif,1
registrasi susah sulit cocok dinjadiin slogan kali kesal serius ubah bintang benar sistem,negatif,-1
hai pertamina baik sistem usaha uang gin aplikasi tolong hormat direktur utama pt pertamina aplikasi susah rakyat daftar masuk sesuai stnk kendara tolak nomor polisi masuk beda daftar payah,positif,1
kesini sulit ambil foto stnk mobil galeri ambil foto fokus ukur foto enak enak versi ambil foto galeri update kek gin sulit ambil foto buram,positif,1
aplikasi buruk bantu sulit,negatif,-1
konoha bagong up load foto stnk pajak susah ampun,negatif,-1
alhamdulillah bantu,netral,0
tolak daftar barcode gara foto stnk payah pertamina,negatif,-1
foto stnk kamera aplikasi susah foto buram tolak daftar subsidi sengaja sulit rakyat subsidi fitur foto ambil galeri foto stnk pakai kamera aplikasi buruk,negatif,-1
beli mobil second barcode isi bensin pertalite daftar daftar jual mobil barcode kak sulit beli bahan bakar mohon bijak terima kasih,positif,1
bagus,positif,1
kembali mypertamina unggah foto galeri,netral,0
sulit daftar,negatif,-1
oke gas oke gas,positif,1
turbo mantap,positif,1
mantap,positif,1
promo,netral,0
sempurna,positif,1
daftar sulit,negatif,-1
bpkb hasil pindai bpkb gadai beli unit,netral,0
aplikasi,netral,0
aplikasi buruk gratis aplikasi aplikasi saking susah bikin qr kode manfaat bikin qr kode bukti aplikasi susah aplikasi bikin qr kode coba bikin aplikasi rakyat mudah bro,negatif,-1
jangkau indonesia,netral,0
kesini kendala daftar barcode unggah foto stnk pilih galeri foto langsung sulit daftar tunggu verifikasi kemarin tolong baik enak pilih unggah galeri,positif,1
cinta produk negeri bahan bakar minyak indonesia,positif,1
daftar subsidi salah sistem bulan baik,positif,1
efektif guna tindak verifikasi orang rajin bayar pajak bahan bakar minyak sulit,positif,1
data hack email balas,netral,0
sistem buruk,negatif,-1
bintang,netral,0
bantu,netral,0
update baru daftar subsidi sulit tunggu verifikasi kaya update,negatif,-1
layan,netral,0
kasih barcode baca,netral,0
registrasi tuk unggah foto ktp stnk pakai aplikasi playstore google chrome,netral,0
qr bayar kamera buram bayar aplikasi aplikasi mobile banking qr bayar,netral,0
oke,positif,1
oke,positif,1
verifikasi email gagal kode otp aduh maksud hai mypertamina,negatif,-1
coba,netral,0
sulit masuk,negatif,-1
tolong baik kali daftar error,positif,1
tolong benah aplikasi menu tukar poin kali barang kirim jelas korban php,positif,1
mohon baik sulit unggah file jpg foto terang bantu unggah file jpg,positif,1
mudah,positif,1
tingkat aplikasi layan bagus mantap pertamina,positif,1
barcode ulang susah ampun susah rakyat,negatif,-1
manfaat,netral,0
oke praktis,positif,1
mantap,positif,1
verifikasi data,netral,0
daftar sulit foto kali ktp suruh ulangin aneh aplikasi coba butuh pakai barcode pakai,negatif,-1
nice,positif,1
sulit foto ktp gagal,negatif,-1
sulit beli bahan bakar minyak pakai voucher kali kali gagal wal hasil tunggu jam isi bahan bakar minyak,negatif,-1
manfaat,netral,0
mantap,positif,1
daftar barcode cepat verifikasi sulit aplikasi sampah,negatif,-1
perdana isi pakai mypertamina ojol lancar mantap voucher subsidi ojol gojek aplikasi asli anak bangsa hehe,positif,1
unggah foto galeri foto langsung tingkat bu tidak unggah foto stnk langsung ambil galeri foto ulang tolong baru susah daftar,negatif,-1
kamera buram fokus foto stnk pakai iphone,netral,0
aplikasi mudah sulit,negatif,-1
aplikasi buruk daftar suruh foto ktp tunggu verifikasi data selesai jam sulit aplikasi sampah,negatif,-1
senang,netral,0
update buruk lot lambat gampang mypertamina lot enak fitur,positif,1
keren,positif,1
mantap,positif,1
buruk tunggu verifikasi data error,negatif,-1
tolong laa pom bensin kasih edc sulit isi mypertamina saran,negatif,-1
foto ktp kotak gagal,negatif,-1
pilih foto bagi subsidi pasu foto ktp stnk mobil foto handphone,netral,0
oke,positif,1
bagus papua repot uang bayar duluan isi bahan bakar minyak,positif,1
registrasi,netral,0
keluh jawab template hai mohon maaf tidak nyaman alami admin butuh data dukung admin solusi kendala sila sobat salah kanal interaksi pertamina call center instagram bantu kece bantu,negatif,-1
oke,positif,1
asyik,positif,1
bingung barcode kasihan paham perintah milik handphone android gagap teknologi hidup zaman serba urus,negatif,-1
mudah simpel,positif,1
oke,positif,1
aplikasi ganggu talang jambe spbu palembang,netral,0
ambil foto beranda,netral,0
coba,netral,0
bagus,positif,1
mantap,positif,1
mantap,positif,1
barcode update bulan takut salah contoh punya barcode pakai isi bahan bakar minyak takut barcode salin salah baru langsung verifikasi nomor telepon akun foto sulit,negatif,-1
mantap,positif,1
salah input edit spbu bantu buat suruh bayar,negatif,-1
kasih bintang bagus kasih bintang,positif,1
baik aplikasi ulang kali coba tolak sesuai nomor ktp maksud,positif,1
daftar barcode,netral,0
pertamina aplikasi update tanggal februari siang data mobil hilang mohon bantu,netral,0
oke,positif,1
bagus,positif,1
masuk nomor daftar login bilang format salah,negatif,-1
foto stnk unggah,netral,0
mudah aktivitas hari,positif,1
oke,positif,1
aplikasi bagus unit pemberitahuan aplikasi sibuk,positif,1
tolong bikin barcode mobil beli orang nama pasti plat mobil solusi bikin barcode mobil nama iya tunjuk solusi,netral,0
terima kasih aplikasi mudah unduh susah barcode,negatif,-1
oke,positif,1
usaha pertamina bikin aplikasi lot,netral,0
bagus,positif,1
nomor good,positif,1
keren mantap mudah terima kasih,positif,1
antri,netral,0
bagus,positif,1
barcode salah orang hak tolong pertamina tambah kode otp isi bahan bakar minyak,negatif,-1
oke mypertamina,positif,1
barcode status pakai pegawai pom banyak kongkalikong ketap bensin nomor plat sesuai kasih ceper situ,positif,1
mudah,positif,1
mudah transaksi siap paket data handphone tab wifi spbu support mudah transaksi customer,positif,1
aplikasi bikin orang sulit susah keluh nomor tanggal desember komplain tanggal desember ikut up solved omong data mypertamina kendara volume silinder tulis roda sistem mending cancel kerja bisa susah orang,negatif,-1
mantap,positif,1
pakai mobil roda data tulis roda urus samsat tolong mudah praktis,positif,1
capai unduh aplikasi isi dana ovo spbu jalur my pertamina tutup alas ganggu jaring parah area sulawesi utara,negatif,-1
aplikasi sinkron samsat ganti plat nomor daftar ulang sulit negeri konoha,negatif,-1
mantap,positif,1
pikir kasih bintang,positif,1
tele tele proses,negatif,-1
sulit,negatif,-1
praktis driver online bantu pakai mypertamina bayar pakai saldo ovo,netral,0
pakai orang,netral,0
oke,positif,1
good job,positif,1
dukung handphone foto loading handphone dukung ambil galeri sayang foto stnk pilih galeri bantu daftar,netral,0
admin biaya agen gas lpg,netral,0
voucher potong harga isi bahan bakar minyak voucher pakai,netral,0
good,positif,1
data agen gas daftar kosong susah cari gas melon kg,negatif,-1
kacau aplikasi daftar susah,negatif,-1
mudah aman,positif,1
kode otp coba whatsapp pesan coba,netral,0
